IP地址	端口	TLS	数据中心	地区	城市	网络延迟	下载速度
185.184.223.138	4196	TRUE	NRT	亚太	日本东京	122 ms	10332 kB/s
45.143.131.216	42769	TRUE	NRT	亚太	日本东京	122 ms	10152 kB/s
45.142.166.196	33003	TRUE	SIN	亚太	新加坡	110 ms	10126 kB/s
45.8.112.72	39738	TRUE	NRT	亚太	日本东京	110 ms	10048 kB/s
193.32.151.205	51926	TRUE	NRT	亚太	日本东京	119 ms	10023 kB/s
45.159.50.139	27441	TRUE	SJC	北美洲	美国圣何塞	121 ms	9943 kB/s
45.128.210.237	44078	TRUE	NRT	亚太	日本东京	123 ms	9811 kB/s
45.129.9.127	8081	TRUE	NRT	亚太	日本东京	116 ms	9789 kB/s
185.184.223.73	50034	TRUE	NRT	亚太	日本东京	116 ms	9783 kB/s
45.8.114.39	2087	TRUE	NRT	亚太	日本东京	119 ms	9712 kB/s
45.143.131.179	8000	TRUE	NRT	亚太	日本东京	117 ms	9666 kB/s
141.98.197.45	8998	TRUE	NRT	亚太	日本东京	122 ms	9657 kB/s
